PROM_ACT	D_EDAD	D_FINCON	PORC_DES	HIST_P	D_DURAC	TPROM4_2	MMODELO	TDEUDA	REGION_3	ADQUISI1	REST_AG1	RTIP_CTA	RESTADO	
10	491	239	0	1	3	1	1	1	1	3	1	1	0	
3	485	245	0	1	3	3	3	1	1	3	2	3	0	
12	469	261	0	4	3	2	2	2	1	3	3	3	0	
32	436	294	0	1	3	1	1	1	1	1	3	3	0	
19	403	327	0	1	3	2	1	1	1	1	2	3	0	
10	400	330	0	1	3	1	3	1	1	3	2	3	1	
64	173	557	0	5	3	3	1	3	1	2	1	3	1	
41	359	371	0	1	3	2	1	1	1	3	2	1	0	
84	321	409	0	3	3	1	1	2	1	2	2	3	0	
44	305	425	0	1	3	1	1	1	1	1	2	3	1	
45	203	527	0	1	3	1	1	1	1	2	3	1	0	
49	196	534	0	1	3	2	1	2	1	2	1	3	0	
57	191	539	0	3	3	2	1	2	1	2	1	1	0	
97	637	459	0	1	2	1	2	1	1	2	1	1	0	
12	159	389	1	7	2	3	1	3	1	3	2	3	1	
24	596	134	0	1	3	1	2	1	1	2	1	1	0	
601	198	532	0	7	3	3	1	3	1	3	1	3	1	
2	584	146	1	1	3	3	3	1	1	3	2	3	0	
12	583	147	0	1	3	1	1	1	1	3	1	3	0	
79	576	520	2	1	2	3	3	1	1	3	2	3	0	
37	563	167	0	1	3	2	2	1	1	3	1	1	0	
0	418	312	0	1	3	3	1	1	1	3	3	3	1	
18	561	169	0	1	3	1	2	1	1	3	1	3	0	
119	555	175	0	1	3	1	2	1	1	3	1	1	0	
28	536	194	0	4	3	3	3	3	1	3	1	3	0	
169	531	199	0	2	3	1	3	2	1	3	1	3	0	
1065	527	203	0	5	3	2	1	3	1	3	1	4	0	
48	525	205	0	1	3	1	2	1	1	3	1	3	0	
683	525	205	0	3	3	1	3	3	1	3	2	4	0	
58	487	243	0	1	3	1	1	1	1	3	3	1	1	
130	477	253	0	1	3	2	1	1	1	1	2	1	0	
1	284	446	2	2	3	3	2	2	1	3	3	1	1	
0	461	269	0	6	3	3	1	2	1	3	2	3	1	
0	308	422	0	1	3	3	3	1	1	1	1	3	0	
0	195	535	2	7	3	3	2	3	1	3	2	3	1	
74	245	485	0	4	3	3	1	3	1	1	1	3	1	
91	321	409	0	1	3	1	1	1	1	1	3	1	0	
594	204	526	0	5	3	3	3	3	1	3	1	3	1	
104	168	562	0	1	3	1	1	1	1	2	1	3	0	
72	150	580	0	1	3	2	3	1	1	2	1	3	0	
35	147	583	0	1	3	1	3	1	1	2	1	1	0	
0	135	595	0	2	3	3	3	1	1	2	1	4	1	
55	665	65	1	2	3	1	2	1	1	2	3	1	0	
172	665	65	0	1	3	1	1	1	1	3	2	1	0	
105	662	68	0	1	3	2	1	1	1	3	2	3	0	
0	356	374	0	7	3	3	1	2	1	3	2	3	1	
5	322	408	1	1	3	1	3	1	1	3	2	1	1	
0	174	556	0	6	3	3	3	2	1	3	2	3	1	
0	633	97	1	1	3	3	1	1	1	3	2	1	0	
304	630	100	0	1	3	1	2	1	1	3	3	1	0	
46	622	108	1	2	3	2	2	3	1	3	2	1	0	
0	243	487	1	7	3	3	1	3	1	3	2	3	1	
